%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
6830672000000,0.25,0.0,0.0,0.0,0.0,0.0
6830772000000,0.202209189534,0.0,0.0,0.0,0.0,0.177416339517
6830872000000,0.202209204435,0.0,0.0,0.0,0.0,0.640379309654
6830972000000,-0.0215403884649,0.0,0.0,0.0,0.0,0.688991308212
6831072000000,0.103152394295,0.0,0.0,0.0,0.0,0.921041727066
6831072000000,0.279269754887,0.0,0.0,0.0,0.0,1.05786156654
6831172000000,0.132300972939,0.0,0.0,0.0,0.0,1.24866008759
6831272000000,0.382301002741,0.0,0.0,0.0,0.0,1.24866008759
6831372000000,0.534735441208,0.0,0.0,0.0,0.0,1.17404139042
6831472000000,0.390204846859,0.0,0.0,0.0,0.0,0.983601927757
6831472000000,0.390204817057,0.0,0.0,0.0,0.0,0.520638942719
6831572000000,0.259463250637,0.0,0.0,0.0,0.0,0.74148786068
6831672000000,0.326761841774,0.0,0.0,0.0,0.0,0.403151899576
6831772000000,0.50836455822,0.0,0.0,0.0,0.0,0.363638430834
6831872000000,0.504275083542,0.0,0.0,0.0,0.0,0.64575189352
6831972000000,0.56702286005,0.0,0.0,0.0,0.0,0.992486059666
6832072000000,0.817022800446,0.0,0.0,0.0,0.0,0.992486000061
6832072000000,0.800413250923,0.0,0.0,0.0,0.0,0.600399792194
6832172000000,0.758756458759,0.0,0.0,0.0,0.0,0.986220479012
6832272000000,1.00875639915,0.0,0.0,0.0,0.0,0.986220538616
6832372000000,1.25875639915,0.0,0.0,0.0,0.0,0.986220479012
6832472000000,1.2890791893,0.0,0.0,0.0,0.0,1.39135324955
6832472000000,1.30449795723,0.0,0.0,0.0,0.0,1.82574987411
6832572000000,1.3674762249,0.0,0.0,0.0,0.0,1.47980380058
6832672000000,1.47423934937,0.0,0.0,0.0,0.0,1.21455001831
6832672000000,1.4707224369,0.0,0.0,0.0,0.0,0.766167700291
6832772000000,1.71131229401,0.0,0.0,0.0,0.0,0.783468604088
6832872000000,1.88443303108,0.0,0.0,0.0,0.0,0.90988266468
6832872000000,2.03025341034,0.0,0.0,0.0,0.0,1.10280561447
6832972000000,1.96822321415,0.0,0.0,0.0,0.0,0.834733605385
6833072000000,1.97506213188,0.0,0.0,0.0,0.0,0.529953956604
6833172000000,1.8852519989,0.0,0.0,0.0,0.0,0.367407679558
6833272000000,2.0549724102,0.0,0.0,0.0,0.0,0.402722001076
6833372000000,2.22071242332,0.0,0.0,0.0,0.0,0.389985084534
6833472000000,2.15238142014,0.0,0.0,0.0,0.0,0.0597137212753
6833472000000,2.39249873161,0.0,0.0,0.0,0.0,0.0778448581696
6833572000000,2.35429406166,0.0,0.0,0.0,0.0,-0.00987195968628
6833672000000,2.46430921555,0.0,0.0,0.0,0.0,-0.00655555725098
6833672000000,2.61091065407,0.0,0.0,0.0,0.0,0.120625019073
6833772000000,2.40322375298,0.0,0.0,0.0,0.0,0.0489637851715
6833872000000,2.24650764465,0.0,0.0,0.0,0.0,0.220622301102
6833972000000,2.38150286674,0.0,0.0,0.0,0.0,0.315908670425
6833972000000,2.47783851624,0.0,0.0,0.0,0.0,0.156923770905
6834072000000,2.65555500984,0.0,0.0,0.0,0.0,0.257686853409
6834172000000,2.6537361145,0.0,0.0,0.0,0.0,0.673093080521
6834272000000,2.73229289055,0.0,0.0,0.0,0.0,0.773493528366
6834372000000,2.8378200531,0.0,0.0,0.0,0.0,0.873399734497
6834372000000,3.03536272049,0.0,0.0,0.0,0.0,0.791072368622
6834472000000,3.21305561066,0.0,0.0,0.0,0.0,0.758351802826
6834572000000,3.46305561066,0.0,0.0,0.0,0.0,0.758351564407
6834572000000,3.48330211639,0.0,0.0,0.0,0.0,1.18379831314
6834672000000,3.57150363922,0.0,0.0,0.0,0.0,1.01396751404
6834772000000,3.61851978302,0.0,0.0,0.0,0.0,1.34706163406
6834772000000,3.61856651306,0.0,0.0,0.0,0.0,0.885080099106
6834872000000,3.64411735535,0.0,0.0,0.0,0.0,1.3007183075
6834972000000,3.80593061447,0.0,0.0,0.0,0.0,1.28849339485
6834972000000,4.02767467499,0.0,0.0,0.0,0.0,1.27000927925
6835072000000,4.14497089386,0.0,0.0,0.0,0.0,1.06872487068
6835172000000,4.29252243042,0.0,0.0,0.0,0.0,1.10942792892
6835272000000,4.22836399078,0.0,0.0,0.0,0.0,0.903344631195
6835372000000,4.19589042664,0.0,0.0,0.0,0.0,1.30616998672
6835372000000,4.19577741623,0.0,0.0,0.0,0.0,0.844291448593
6835472000000,4.39483737946,0.0,0.0,0.0,0.0,0.751975774765
6835572000000,4.4626083374,0.0,0.0,0.0,0.0,0.443790435791
6835672000000,4.46219444275,0.0,0.0,0.0,0.0,0.265816688538
6835772000000,4.46219444275,0.0,0.0,0.0,0.0,-0.19714641571
6835772000000,4.24969959259,0.0,0.0,0.0,0.0,-0.128391265869
6835872000000,4.05123138428,0.0,0.0,0.0,0.0,-0.173980474472
6835972000000,4.17490196228,0.0,0.0,0.0,0.0,-0.0750305652618
6835972000000,4.3896818161,0.0,0.0,0.0,0.0,-0.0195031166077
6836072000000,4.270819664,0.0,0.0,0.0,0.0,-0.20060634613
6836172000000,4.36737632751,0.0,0.0,0.0,0.0,-0.268673181534
6836172000000,4.5926399231,0.0,0.0,0.0,0.0,-0.302760601044
6836272000000,4.5733537674,0.0,0.0,0.0,0.0,-0.642137765884
6836372000000,4.62166213989,0.0,0.0,0.0,0.0,-0.700539827347
6836372000000,4.52548694611,0.0,0.0,0.0,0.0,-0.602444887161
6836472000000,4.47535181046,0.0,0.0,0.0,0.0,-0.35297703743
6836572000000,4.28553915024,0.0,0.0,0.0,0.0,-0.247650384903
6836672000000,4.47327041626,0.0,0.0,0.0,0.0,-0.362963676453
6836772000000,4.22327136993,0.0,0.0,0.0,0.0,-0.362965106964
6836872000000,4.03601455688,0.0,0.0,0.0,0.0,-0.479138851166
6836972000000,4.24154853821,0.0,0.0,0.0,0.0,-0.536034107208
6836972000000,4.17096424103,0.0,0.0,0.0,0.0,-0.815249919891
6837072000000,4.17096424103,0.0,0.0,0.0,0.0,-1.27821278572
6837172000000,4.29767227173,0.0,0.0,0.0,0.0,-1.04989433289
6837172000000,4.0559053421,0.0,0.0,0.0,0.0,-1.0650408268
6837272000000,4.27667140961,0.0,0.0,0.0,0.0,-1.0189743042
6837372000000,4.07084178925,0.0,0.0,0.0,0.0,-1.08349847794
6837372000000,4.03430938721,0.0,0.0,0.0,0.0,-0.694402217865
6837472000000,4.03430938721,0.0,0.0,0.0,0.0,-1.15736579895
6837572000000,4.00350809097,0.0,0.0,0.0,0.0,-1.54599189758
6837672000000,4.00350809097,0.0,0.0,0.0,0.0,-1.08302903175
6837772000000,3.91461443901,0.0,0.0,0.0,0.0,-1.37935209274
6837772000000,3.8202958107,0.0,0.0,0.0,0.0,-1.39446377754
6837872000000,3.84599971771,0.0,0.0,0.0,0.0,-1.02901649475
6837972000000,4.04908561707,0.0,0.0,0.0,0.0,-1.11574864388
6837972000000,4.13056850433,0.0,0.0,0.0,0.0,-1.07439947128
6838072000000,4.04105329514,0.0,0.0,0.0,0.0,-1.36430215836
6838172000000,4.04105329514,0.0,0.0,0.0,0.0,-0.901339292526
6838272000000,4.00027227402,0.0,0.0,0.0,0.0,-1.26046180725
6838372000000,3.87944197655,0.0,0.0,0.0,0.0,-1.30880904198
6838372000000,3.83458757401,0.0,0.0,0.0,0.0,-1.68103837967
6838472000000,3.58458757401,0.0,0.0,0.0,0.0,-1.68103885651
6838504000000,3.33458757401,0.0,0.0,0.0,0.0,-1.68103861809
6838540000000,3.08458757401,0.0,0.0,0.0,0.0,-1.68103861809
6838572000000,2.83458757401,0.0,0.0,0.0,0.0,-1.6810387373
6838604000000,2.58458781242,0.0,0.0,0.0,0.0,-1.68103861809
6838640000000,2.33458781242,0.0,0.0,0.0,0.0,-1.6810387373
6838672000000,2.08458781242,0.0,0.0,0.0,0.0,-1.68103861809
6838704000000,1.83458781242,0.0,0.0,0.0,0.0,-1.68103885651
6838740000000,1.58458793163,0.0,0.0,0.0,0.0,-1.68103885651
6838772000000,1.33458793163,0.0,0.0,0.0,0.0,-1.6810387373
6838804000000,1.08458793163,0.0,0.0,0.0,0.0,-1.68103897572
6838840000000,0.871174454689,0.0,0.0,0.0,0.0,-1.61328613758
6838872000000,0.746174514294,0.0,0.0,0.0,0.0,-1.38180470467
6838904000000,0.621174514294,0.0,0.0,0.0,0.0,-1.15032327175
6838940000000,0.496174514294,0.0,0.0,0.0,0.0,-0.918841719627
6838972000000,0.371174484491,0.0,0.0,0.0,0.0,-0.687360227108
6839004000000,0.246174484491,0.0,0.0,0.0,0.0,-0.455878704786
6839040000000,0.121174491942,0.0,0.0,0.0,0.0,-0.224397212267
6839072000000,0.0,0.0,0.0,0.0,0.0,0.0
6841704000000,-0.157725036144,0.0,0.0,0.0,0.0,-0.170879542828
6841804000000,-0.157725036144,0.0,0.0,0.0,0.0,-0.633842468262
6841904000000,-0.239601910114,0.0,0.0,0.0,0.0,-0.945181667805
6841904000000,-0.290819704533,0.0,0.0,0.0,0.0,-1.3132969141
6842004000000,-0.290819704533,0.0,0.0,0.0,0.0,-1.77625989914
6842104000000,-0.0408196747303,0.0,0.0,0.0,0.0,-1.77625989914
6842204000000,-0.152835488319,0.0,0.0,0.0,0.0,-1.90746712685
6842304000000,0.0404864549637,0.0,0.0,0.0,0.0,-2.01242637634
6842404000000,-0.0984752178192,0.0,0.0,0.0,0.0,-2.01242613792
6842504000000,-0.243406623602,0.0,0.0,0.0,0.0,-2.19734096527
6842604000000,-0.160530745983,0.0,0.0,0.0,0.0,-2.28265953064
6842704000000,-0.402753740549,0.0,0.0,0.0,0.0,-2.2966375351
6842804000000,-0.405603766441,0.0,0.0,0.0,0.0,-2.75432252884
6842904000000,-0.655603766441,0.0,0.0,0.0,0.0,-2.75432252884
6843004000000,-0.634521067142,0.0,0.0,0.0,0.0,-2.48066425323
6843104000000,-0.495282530785,0.0,0.0,0.0,0.0,-2.30112361908
6843204000000,-0.487905412912,0.0,0.0,0.0,0.0,-1.92954277992
6843304000000,-0.237905472517,0.0,0.0,0.0,0.0,-1.92954289913
6843404000000,-0.0723663568497,0.0,0.0,0.0,0.0,-2.08595204353
6843504000000,0.15009534359,0.0,0.0,0.0,0.0,-2.03495526314
6843504000000,-0.0999046564102,0.0,0.0,0.0,0.0,-2.03495502472
6843604000000,0.149031490088,0.0,0.0,0.0,0.0,-2.0351805687
6843704000000,0.255995839834,0.0,0.0,0.0,0.0,-1.77037751675
6843804000000,0.00599583983421,0.0,0.0,0.0,0.0,-1.77037751675
6843904000000,0.255995839834,0.0,0.0,0.0,0.0,-1.77037751675
6844004000000,0.00599583983421,0.0,0.0,0.0,0.0,-1.77037751675
6844104000000,0.238972604275,0.0,0.0,0.0,0.0,-1.7864317894
6844204000000,0.252902507782,0.0,0.0,0.0,0.0,-2.22344398499
6844304000000,0.41746082902,0.0,0.0,0.0,0.0,-2.27000594139
6844404000000,0.49989181757,0.0,0.0,0.0,0.0,-2.2137901783
6844504000000,0.659443259239,0.0,0.0,0.0,0.0,-2.04629468918
6844604000000,0.659443318844,0.0,0.0,0.0,0.0,-1.58333170414
6844704000000,0.74514311552,0.0,0.0,0.0,0.0,-1.27907204628
6844804000000,0.832910239697,0.0,0.0,0.0,0.0,-0.978640913963
6844904000000,1.01209950447,0.0,0.0,0.0,0.0,-0.916052639484
6845004000000,1.01209950447,0.0,0.0,0.0,0.0,-1.37901568413
6845104000000,1.2619997263,0.0,0.0,0.0,0.0,-1.3791000843
6845204000000,1.23497569561,0.0,0.0,0.0,0.0,-0.966275691986
6845304000000,1.48495960236,0.0,0.0,0.0,0.0,-0.966247737408
6845404000000,1.73495960236,0.0,0.0,0.0,0.0,-0.966248035431
6845504000000,1.98495960236,0.0,0.0,0.0,0.0,-0.966247797012
6845604000000,2.20335626602,0.0,0.0,0.0,0.0,-1.02367758751
6845704000000,2.45335626602,0.0,0.0,0.0,0.0,-1.0236774683
6845804000000,2.27053689957,0.0,0.0,0.0,0.0,-0.90327334404
6845904000000,2.27053689957,0.0,0.0,0.0,0.0,-0.44031059742
6846004000000,2.27578759193,0.0,0.0,0.0,0.0,-0.0220603942871
6846104000000,2.52578759193,0.0,0.0,0.0,0.0,-0.0220603942871
6846204000000,2.77578639984,0.0,0.0,0.0,0.0,-0.0220625400543
6846304000000,3.02578639984,0.0,0.0,0.0,0.0,-0.0220625400543
6846404000000,3.27578639984,0.0,0.0,0.0,0.0,-0.0220625400543
6846504000000,3.27578639984,0.0,0.0,0.0,0.0,0.440900325775
6846604000000,3.27578639984,0.0,0.0,0.0,0.0,0.903863191605
