%time,field.steer,field.throttle,field.brake,field.handbrake,field.clutch,field.manual_gear,field.automatic_gear
166196000000,-0.13333334028720856,0.2666666805744171,0.0,0.0,0.0,0,4
166292000000,-0.012972076423466206,0.4987459182739258,0.0,0.0,0.0,0,4
166392000000,-0.13629338145256042,0.5261743068695068,0.0,0.0,0.0,0,4
166416000000,-0.07603000104427338,0.7074862718582153,0.0,0.0,0.0,0,4
166508000000,0.05730213224887848,0.9741523861885071,0.0,0.0,0.0,0,4
166632000000,0.19063542783260345,0.70808345079422,0.0,0.0,0.0,0,4
166732000000,0.323968768119812,0.9423225522041321,0.0,0.0,0.0,0,4
166840000000,0.4462566077709198,0.9550347328186035,0.0,0.0,0.0,0,4
166928000000,0.5449248552322388,0.8981252908706665,0.0,0.0,0.0,0,4
167008000000,0.6782230138778687,0.935019850730896,0.0,0.0,0.0,0,4
167140000000,0.8115469813346863,0.9470712542533875,0.0,0.0,0.0,0,4
167268000000,0.9371468424797058,0.8324135541915894,0.0,0.0,0.0,0,4
167328000000,0.9640305042266846,0.8177325129508972,0.0,0.0,0.0,0,4
167428000000,0.9829553961753845,0.7243258953094482,0.0,0.0,0.0,0,4
167552000000,0.981975257396698,0.6724028587341309,0.0,0.0,0.0,0,4
167676000000,0.9749831557273865,0.6755604147911072,0.0,0.0,0.0,0,4
167800000000,0.9611832499504089,0.6093107461929321,0.0,0.0,0.0,0,4
167824000000,0.9751365780830383,0.7092822194099426,0.0,0.0,0.0,0,4
167928000000,0.9656234979629517,0.6268966197967529,0.0,0.0,0.0,0,4
168048000000,0.9241389036178589,0.7330093383789062,0.0,0.0,0.0,0,4
168116000000,0.8882909417152405,0.6633520126342773,0.0,0.0,0.0,0,4
168232000000,0.9573880434036255,0.6511044502258301,0.0,0.0,0.0,0,4
168324000000,0.874796986579895,0.6074731945991516,0.0,0.0,0.0,0,4
168424000000,0.8080110549926758,0.5995124578475952,0.0,0.0,0.0,0,4
168548000000,0.7391145825386047,0.7346769571304321,0.0,0.0,0.0,0,4
168672000000,0.6573390364646912,0.7924357652664185,0.0,0.0,0.0,0,4
168728000000,0.5398178696632385,0.7548509836196899,0.0,0.0,0.0,0,4
168824000000,0.4609454274177551,0.8005813956260681,0.0,0.0,0.0,0,4
168944000000,0.36346977949142456,0.7555119395256042,0.0,0.0,0.0,0,4
169044000000,0.25554242730140686,0.6380606889724731,0.0,0.0,0.0,0,4
169148000000,0.146575465798378,0.6616707444190979,0.0,0.0,0.0,0,4
169260000000,0.09759104251861572,0.5982228517532349,0.0,0.0,0.0,0,4
169352000000,0.04214681312441826,0.5274480581283569,0.0,0.0,0.0,0,4
169452000000,-0.0006131893023848534,0.4649187922477722,0.0,0.0,0.0,0,4
169576000000,0.08954359591007233,0.5161522030830383,0.0,0.0,0.0,0,4
169600000000,0.18165677785873413,0.5285941362380981,0.0,0.0,0.0,0,4
169700000000,0.1762753427028656,0.5735772848129272,0.0,0.0,0.0,0,4
169824000000,0.15516425669193268,0.5697517991065979,0.0,0.0,0.0,0,4
169880000000,0.06039195880293846,0.3559270203113556,0.0,0.0,0.0,0,4
170008000000,0.04258975014090538,0.14198634028434753,0.0,0.0,0.0,0,4
170096000000,-0.08503679931163788,0.0,0.08139578253030777,0.0,0.0,0,4
