%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
531200000000,-1.49011611938e-08,0.0,0.0,0.0,0.0,0.462962985039
531300000000,0.249997124076,0.0,0.0,0.0,0.0,0.462957650423
531400000000,0.249997138977,0.0,0.0,0.0,0.0,0.925920665264
531500000000,0.499973207712,0.0,0.0,0.0,0.0,0.925964891911
531600000000,0.663537681103,0.0,0.0,0.0,0.0,0.765899062157
531700000000,0.676502883434,0.0,0.0,0.0,0.0,1.2048522234
531800000000,0.676502883434,0.0,0.0,0.0,0.0,1.66781508923
531800000000,0.926502883434,0.0,0.0,0.0,0.0,1.66781508923
531900000000,1.12347328663,0.0,0.0,0.0,0.0,1.59913933277
532000000000,0.873473346233,0.0,0.0,0.0,0.0,1.59913933277
532100000000,1.09964048862,0.0,0.0,0.0,0.0,1.55667662621
532200000000,1.16199016571,0.0,0.0,0.0,0.0,1.21449553967
532300000000,0.966976284981,0.0,0.0,0.0,0.0,1.2618111372
532400000000,1.10856103897,0.0,0.0,0.0,0.0,1.46155619621
532500000000,1.04622399807,0.0,0.0,0.0,0.0,1.67501473427
532600000000,1.0374443531,0.0,0.0,0.0,0.0,1.42203783989
532700000000,1.16072142124,0.0,0.0,0.0,0.0,1.5517873764
532800000000,1.08192527294,0.0,0.0,0.0,0.0,1.64794576168
532900000000,1.02819907665,0.0,0.0,0.0,0.0,1.30387473106
533000000000,1.21724224091,0.0,0.0,0.0,0.0,1.19992542267
533100000000,1.40741729736,0.0,0.0,0.0,0.0,1.09727537632
533200000000,1.39033401012,0.0,0.0,0.0,0.0,1.12570905685
533300000000,1.35613143444,0.0,0.0,0.0,0.0,1.15272784233
533400000000,1.43333339691,0.0,0.0,0.0,0.0,1.00082111359
533500000000,1.48710417747,0.0,0.0,0.0,0.0,0.852552890778
533600000000,1.58268344402,0.0,0.0,0.0,0.0,0.712231397629
533700000000,1.63843631744,0.0,0.0,0.0,0.0,0.602079749107
533800000000,1.71495735645,0.0,0.0,0.0,0.0,0.502114534378
533900000000,1.6622222662,0.0,0.0,0.0,0.0,0.568273901939
534000000000,1.7914699316,0.0,0.0,0.0,0.0,0.386036753654
534100000000,1.79218935966,0.0,0.0,0.0,0.0,0.384473443031
534200000000,1.90226578712,0.0,0.0,0.0,0.0,0.127018809319
534300000000,1.96455192566,0.0,0.0,0.0,0.0,0.0050675868988
534400000000,1.97200107574,0.0,0.0,0.0,0.0,0.0206211805344
534500000000,1.97513985634,0.0,0.0,0.0,0.0,0.0185754299164
534600000000,1.98489618301,0.0,0.0,0.0,0.0,-0.0279321670532
534700000000,1.95015239716,0.0,0.0,0.0,0.0,0.0922883749008
534800000000,1.86557090282,0.0,0.0,0.0,0.0,-0.0776596069336
534900000000,1.99116873741,0.0,0.0,0.0,0.0,0.0163545608521
535000000000,1.99156880379,0.0,0.0,0.0,0.0,-0.00547826290131
535100000000,1.741568923,0.0,0.0,0.0,0.0,-0.00547826290131
535200000000,1.91576218605,0.0,0.0,0.0,0.0,0.134904503822
535300000000,1.81315755844,0.0,0.0,0.0,0.0,0.346004605293
535400000000,1.61040592194,0.0,0.0,0.0,0.0,0.258507609367
535500000000,1.86006891727,0.0,0.0,0.0,0.0,0.257884383202
535600000000,1.86006879807,0.0,0.0,0.0,0.0,-0.205078482628
535700000000,1.99948096275,0.0,0.0,0.0,0.0,-0.00096070766449
535800000000,2.0,0.0,0.0,0.0,0.0,0.0
535900000000,1.98736763,0.0,0.0,0.0,0.0,-0.0232180356979
536000000000,1.87231969833,0.0,0.0,0.0,0.0,0.226496934891
536100000000,1.7232067585,0.0,0.0,0.0,0.0,0.229083895683
536200000000,1.78776359558,0.0,0.0,0.0,0.0,-0.0820692777634
536300000000,1.78466272354,0.0,0.0,0.0,0.0,-0.397443652153
536400000000,1.89415514469,0.0,0.0,0.0,0.0,-0.195977449417
536500000000,1.77628850937,0.0,0.0,0.0,0.0,-0.399075031281
536600000000,1.78734350204,0.0,0.0,0.0,0.0,0.0110458135605
536700000000,1.67611002922,0.0,0.0,0.0,0.0,0.154825568199
536800000000,1.77120351791,0.0,0.0,0.0,0.0,0.423697710037
536900000000,1.71302509308,0.0,0.0,0.0,0.0,0.193442225456
537000000000,1.78564596176,0.0,0.0,0.0,0.0,0.377460718155
537100000000,1.79086589813,0.0,0.0,0.0,0.0,0.367529511452
537200000000,1.84549200535,0.0,0.0,0.0,0.0,0.0447025299072
537300000000,1.92726516724,0.0,0.0,0.0,0.0,0.00203776359558
537400000000,1.88783383369,0.0,0.0,0.0,0.0,-0.0727356672287
537500000000,1.84924483299,0.0,0.0,0.0,0.0,0.279125094414
537600000000,1.7066514492,0.0,0.0,0.0,0.0,0.370421767235
537700000000,1.8767721653,0.0,0.0,0.0,0.0,0.226598381996
537800000000,1.98464035988,0.0,0.0,0.0,0.0,0.0283704996109
537900000000,1.98054468632,0.0,0.0,0.0,0.0,0.0360279083252
538000000000,1.91800880432,0.0,0.0,0.0,0.0,-0.0155822038651
538100000000,1.98452091217,0.0,0.0,0.0,0.0,-0.0140588283539
538200000000,1.96152997017,0.0,0.0,0.0,0.0,0.0449434518814
538300000000,1.91714251041,0.0,0.0,0.0,0.0,-0.00341331958771
538400000000,1.98308467865,0.0,0.0,0.0,0.0,0.0295797586441
538500000000,1.99999976158,0.0,0.0,0.0,0.0,3.57627868652e-07
538600000000,1.99969005585,0.0,0.0,0.0,0.0,0.000566720962524
538700000000,1.92152965069,0.0,0.0,0.0,0.0,0.145298480988
538800000000,1.9334962368,0.0,0.0,0.0,0.0,-0.0892347097397
538900000000,1.94940972328,0.0,0.0,0.0,0.0,-0.0263428688049
539000000000,1.97799348831,0.0,0.0,0.0,0.0,0.0102506875992
539100000000,1.99740433693,0.0,0.0,0.0,0.0,0.00473439693451
539200000000,1.87484455109,0.0,0.0,0.0,0.0,-0.231266021729
539300000000,1.86899542809,0.0,0.0,0.0,0.0,0.209359645844
539400000000,1.96127974987,0.0,0.0,0.0,0.0,0.0202661752701
539500000000,1.86111176014,0.0,0.0,0.0,0.0,-0.257200479507
539500000000,1.86229205132,0.0,0.0,0.0,0.0,0.203550457954
539600000000,1.99446320534,0.0,0.0,0.0,0.0,-0.00534856319427
539700000000,1.86358237267,0.0,0.0,0.0,0.0,-0.225939393044
539800000000,1.95862674713,0.0,0.0,0.0,0.0,-0.0763354301453
539900000000,2.0,0.0,0.0,0.0,0.0,0.0
540000000000,1.93967533112,0.0,0.0,0.0,0.0,-0.00675225257874
540100000000,1.97375464439,0.0,0.0,0.0,0.0,0.0459469556808
540200000000,1.97086215019,0.0,0.0,0.0,0.0,0.0226451158524
540300000000,1.94827699661,0.0,0.0,0.0,0.0,-0.0886844396591
540400000000,1.80782389641,0.0,0.0,0.0,0.0,-0.245211958885
540500000000,1.96270465851,0.0,0.0,0.0,0.0,-0.069065451622
540600000000,1.97983765602,0.0,0.0,0.0,0.0,-0.0373007059097
540700000000,1.79790258408,0.0,0.0,0.0,0.0,-0.162144303322
540800000000,1.96816444397,0.0,0.0,0.0,0.0,-0.0384007692337
540900000000,1.92763590813,0.0,0.0,0.0,0.0,0.116359829903
541000000000,1.92052304745,0.0,0.0,0.0,0.0,0.0271178483963
541100000000,1.99180245399,0.0,0.0,0.0,0.0,-0.0124448537827
541200000000,1.95070624352,0.0,0.0,0.0,0.0,-0.0451241731644
541300000000,1.834836483,0.0,0.0,0.0,0.0,-0.237226724625
541400000000,1.88692474365,0.0,0.0,0.0,0.0,-0.185518741608
541500000000,1.8908290863,0.0,0.0,0.0,0.0,0.00054657459259
541600000000,1.95510959625,0.0,0.0,0.0,0.0,-0.0370191335678
541700000000,1.84255969524,0.0,0.0,0.0,0.0,-0.291556119919
541800000000,1.86502552032,0.0,0.0,0.0,0.0,0.128622531891
